Date,Symbol,Open,High,Low,Close,Adj Close,Volume
21/02/2019,AAPL,171.800003,172.369995,170.300003,171.059998,171.059998,17249700
21/02/2019,JD,24.82,24.879999,24.01,24.27,24.27,13542600
21/02/2019,BABA,171,171.779999,169.800003,171.660004,171.660004,8434800
21/02/2019,GS,198.970001,199.449997,195.050003,196.360001,196.360001,2785900
21/02/2019,FB,161.929993,162.240005,159.589996,160.039993,160.039993,15607800
22/02/2019,AAPL,171.580002,173,171.380005,172.970001,172.970001,18913200
22/02/2019,JD,24.549999,25.959999,24.48,25.950001,25.950001,27113300
22/02/2019,BABA,172.800003,177.020004,172.520004,176.919998,176.919998,16175600
22/02/2019,GS,196.600006,197.75,195.199997,196,196,2626600
22/02/2019,FB,160.580002,162.410004,160.309998,161.889999,161.889999,15858500
25/02/2019,AAPL,174.160004,175.869995,173.949997,174.229996,174.229996,21873400
25/02/2019,JD,27.110001,27.379999,26.040001,26.190001,26.190001,29338500
25/02/2019,BABA,181.259995,183.720001,180.729996,183.25,183.25,22831800
25/02/2019,GS,198,201.5,197.710007,198.649994,198.649994,3032200
25/02/2019,FB,163.070007,166.070007,162.899994,164.619995,164.619995,18737100
26/02/2019,AAPL,173.710007,175.300003,173.169998,174.330002,174.330002,17006000
26/02/2019,JD,25.98,26.82,25.66,26.59,26.59,20264100
26/02/2019,BABA,179.789993,184.350006,179.369995,183.539993,183.539993,13857900
26/02/2019,GS,198.470001,200.559998,196.550003,198.899994,198.899994,2498000
26/02/2019,FB,164.339996,166.240005,163.800003,164.130005,164.130005,13645200
